iterations,exploration,score
1000,2.25,47
1000,2.25,45
1000,2.25,48
1000,2.5,47
1000,2.5,49
1000,2.5,46
1000,2.5,48
1000,2.5,44
1000,2.5,48
1000,2.5,45
1000,2.5,53
1000,2.5,42
1000,2.5,48
1000,3,44
1000,3,54
1000,3,46
1000,3,43
1000,3,55
1000,3,50
1000,3,51
1000,3,45
1000,3,47
1000,3,45
1000,4,41
1000,4,48
1000,4,46
1000,4,53
1000,4,50
1000,4,46
1000,4,49
1000,4,44
1000,4,41
1000,4,53
1000,5,52
1000,5,44
1000,5,45
1000,5,44
1000,5,49
1000,5,46
1000,5,48
1000,5,50
1000,5,42
1000,5,42
1000,6,55
1000,6,46
1000,6,46
1000,6,54
1000,6,44
1000,6,52
1000,6,50
1000,6,52
1000,6,51
1000,6,48
100,0.001,44
100,0.001,35
100,0.001,36
100,0.001,38
100,0.001,29
100,0.001,38
100,0.001,27
100,0.001,36
100,0.001,43
100,0.001,46
100,0.01,36
100,0.01,32
100,0.01,45
100,0.01,34
100,0.01,42
100,0.01,42
100,0.01,31
100,0.01,42
100,0.01,39
100,0.01,25
100,0.01,45
100,0.01,38
100,0.01,35
100,0.01,45
100,0.01,41
100,0.01,42
100,0.01,34
100,0.01,41
100,0.01,38
100,0.01,41
100,0.15,34
100,0.15,31
100,0.15,44
100,0.15,33
100,0.15,30
100,0.15,39
100,0.15,32
100,0.15,31
100,0.15,34
100,0.15,34
100,0.2,27
100,0.2,38
100,0.2,33
100,0.2,36
100,0.2,34
100,0.2,37
100,0.2,34
100,0.2,31
100,0.2,32
100,0.2,41
100,0.25,39
100,0.25,38
100,0.25,34
100,0.25,34
100,0.25,40
100,0.25,26
100,0.25,34
100,0.25,27
100,0.25,32
100,0.25,43
100,0.35,40
100,0.35,39
100,0.35,30
100,0.35,37
100,0.35,37
100,0.35,30
100,0.35,41
100,0.35,30
100,0.35,36
100,0.35,40
100,0.433,30
100,0.433,35
100,0.433,36
100,0.433,37
100,0.433,41
100,0.433,31
100,0.433,34
100,0.433,44
100,0.433,48
100,0.433,34
100,0.5,31
100,0.5,41
100,0.5,32
100,0.5,40
100,0.5,32
100,0.5,38
100,0.5,29
100,0.5,39
100,0.5,30
100,0.5,31
100,1,40
100,1,39
100,1,36
100,1,26
100,1,39
100,1,36
100,1,33
100,1,28
100,1,37
100,1,32
100,1.5,37
100,1.5,30
100,1.5,41
100,1.5,33
100,1.5,45
100,1.5,39
100,1.5,40
100,1.5,47
100,1.5,41
100,1.5,37
100,1.75,33
100,1.75,39
100,1.75,35
100,1.75,32
100,1.75,42
100,1.75,35
100,1.75,35
100,1.75,42
100,1.75,36
100,1.75,27
100,2,38
100,2,32
100,2,33
100,2,34
100,2,36
100,2,40
100,2,29
100,2,37
100,2,27
100,2,27
100,2.25,27
100,2.25,34
100,2.25,39
100,2.25,39
100,2.25,37
100,2.25,34
100,2.25,37
100,2.25,45
100,2.25,40
100,2.25,36
100,2.5,33
100,2.5,33
100,2.5,27
100,2.5,34
100,2.5,38
100,2.5,36
100,2.5,29
100,2.5,30
100,2.5,32
100,2.5,37
100,3,28
100,3,38
100,3,37
100,3,31
100,3,32
100,3,45
100,3,39
100,3,38
100,3,36
100,3,41
100,4,42
100,4,31
100,4,36
100,4,42
100,4,34
100,4,41
100,4,38
100,4,33
100,4,42
100,4,35
100,5,37
100,5,30
100,5,23
100,5,43
100,5,36
100,5,36
100,5,36
100,5,43
100,5,40
100,5,31
100,6,34
100,6,46
100,6,42
100,6,39
100,6,41
100,6,33
100,6,28
100,6,36
100,6,38
100,6,29
1000,0.001,50
1000,0.001,47
1000,0.001,40
1000,0.001,38
1000,0.001,53
1000,0.001,45
1000,0.001,50
1000,0.001,44
1000,0.001,45
1000,0.001,46
1000,0.01,50
1000,0.01,60
1000,0.01,50
1000,0.01,49
1000,0.01,50
1000,0.01,50
1000,0.01,45
1000,0.01,52
1000,0.01,50
1000,0.01,48
1000,0.01,57
1000,0.01,47
1000,0.01,50
1000,0.01,50
1000,0.01,44
1000,0.01,40
1000,0.01,43
1000,0.01,47
1000,0.01,48
1000,0.01,48
1000,0.15,42
1000,0.15,52
1000,0.15,39
1000,0.15,47
1000,0.15,54
1000,0.15,49
1000,0.15,47
1000,0.15,41
1000,0.15,46
1000,0.15,39
1000,0.2,48
1000,0.2,49
1000,0.2,52
1000,0.2,48
1000,0.2,52
1000,0.2,45
1000,0.2,47
1000,0.2,48
1000,0.2,48
1000,0.2,43
1000,0.25,44
1000,0.25,48
1000,0.25,38
1000,0.25,44
1000,0.25,46
1000,0.25,44
1000,0.25,43
1000,0.25,47
1000,0.25,49
1000,0.25,43
1000,0.35,51
1000,0.35,39
1000,0.35,49
1000,0.35,40
1000,0.35,46
1000,0.35,39
1000,0.35,44
1000,0.35,54
1000,0.35,50
1000,0.35,54
1000,0.433,47
1000,0.433,50
1000,0.433,50
1000,0.433,51
1000,0.433,52
1000,0.433,45
1000,0.433,33
1000,0.433,50
1000,0.433,44
1000,0.433,51
1000,0.5,49
1000,0.5,45
1000,0.5,44
1000,0.5,44
1000,0.5,45
1000,0.5,51
1000,0.5,45
1000,0.5,49
1000,0.5,49
1000,0.5,46
1000,1,51
1000,1,46
1000,1,49
1000,1,43
1000,1,48
1000,1,46
1000,1,51
1000,1,49
1000,1,50
1000,1,50
1000,1.5,43
1000,1.5,45
1000,1.5,47
1000,1.5,45
1000,1.5,53
1000,1.5,45
1000,1.5,48
1000,1.5,49
1000,1.5,50
1000,1.5,48
1000,1.75,46
1000,1.75,44
1000,1.75,49
1000,1.75,48
1000,1.75,47
1000,1.75,50
1000,1.75,46
1000,1.75,50
1000,1.75,43
1000,1.75,54
1000,2,47
1000,2,47
1000,2,46
1000,2,43
1000,2,47
1000,2,46
1000,2,42
1000,2,45
1000,2,44
1000,2,43
1000,2.25,45
1000,2.25,47
1000,2.25,50
1000,2.25,50
1000,2.25,53
1000,2.25,47
1000,2.25,51
1000,2.25,46
1000,2.25,46
1000,2.25,49
1000,2.5,52
1000,2.5,46
1000,2.5,49
1000,2.5,50
1000,2.5,51
1000,2.5,41
1000,2.5,40
1000,2.5,38
1000,2.5,52
1000,2.5,47
1000,3,45
1000,3,35
1000,3,44
1000,3,49
1000,3,40
1000,3,47
1000,3,48
1000,3,49
1000,3,48
1000,3,50
1000,4,53
1000,4,45
1000,4,49
1000,4,43
1000,4,48
1000,4,46
1000,4,45
1000,4,46
1000,4,44
1000,4,50
1000,5,52
1000,5,45
1000,5,45
1000,5,44
1000,5,42
1000,5,44
1000,5,50
1000,5,49
1000,5,46
1000,5,38
1000,6,36
1000,6,46
1000,6,38
